rep,car_id,plate,well,gate_str,gate,parent_gate,CAR,subset,parent_subset,parent_CAR,count,freq,gmean_mfi,mean_mfi,gate_clean,count_per_bead,row,col,well_id,car_name,rep_type,stimmed,rep_lbl,gate_category
A,1,2,A1,Lymphocytes,Lymphocytes,,FALSE,CD3,CD3,FALSE,1967,12.7,,,lymphocytes,1.06786102062975,A,1,A1,CD28,1:4,TRUE,1:4a,
A,1,2,A1,Lymphocytes/Single Cells/Single Cells/Live CAR,Live CAR,Lymphocytes,TRUE,CD3,CD3,FALSE,1196,60.8,,,live_car,0.649294245385451,A,1,A1,CD28,1:4,TRUE,1:4a,
A,1,2,A1,Lymphocytes/Single Cells/Single Cells/Live CAR/CD4,CD4,Live CAR,TRUE,CD3,CD3,TRUE,512,42.8,,,CD4,0.277958740499457,A,1,A1,CD28,1:4,TRUE,1:4a,
A,1,2,A1,Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/CD39,CD39,CD4,TRUE,CD4,CD3,TRUE,311,60.7,5324,17072,CD39,0.168838219326819,A,1,A1,CD28,1:4,TRUE,1:4a,Exhaustion
A,1,2,A1,Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/LAG3,LAG3,CD4,TRUE,CD4,CD3,TRUE,227,44.3,1419,2544,LAG3,0.123235613463626,A,1,A1,CD28,1:4,TRUE,1:4a,Exhaustion
A,1,2,A1,Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/PD1,PD1,CD4,TRUE,CD4,CD3,TRUE,107,20.9,2768,3168,PD1,0.0580890336590662,A,1,A1,CD28,1:4,TRUE,1:4a,Exhaustion
A,1,2,A1,"Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q10: CD127+ , CD27+","Q10: CD127+ , CD27+",CD4,TRUE,CD4,CD3,TRUE,135,26.4,,,CD127posCD27pos,0.0732899022801303,A,1,A1,CD28,1:4,TRUE,1:4a,
A,1,2,A1,"Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q11: CD127+ , CD27-","Q11: CD127+ , CD27-",CD4,TRUE,CD4,CD3,TRUE,265,51.8,,,CD127posCD27neg,0.143865363735071,A,1,A1,CD28,1:4,TRUE,1:4a,
A,1,2,A1,"Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q12: CD127- , CD27-","Q12: CD127- , CD27-",CD4,TRUE,CD4,CD3,TRUE,100,19.5,,,CD127negCD27neg,0.0542888165038002,A,1,A1,CD28,1:4,TRUE,1:4a,
A,1,2,A1,"Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q1: CD45RO- , CD62L+","Q1: CD45RO- , CD62L+",CD4,TRUE,CD4,CD3,TRUE,115,22.5,,,Naive,0.0624321389793703,A,1,A1,CD28,1:4,TRUE,1:4a,Differentiation
A,1,2,A1,"Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q2: CD45RO+ , CD62L+","Q2: CD45RO+ , CD62L+",CD4,TRUE,CD4,CD3,TRUE,206,40.2,,,Mem,0.111834961997828,A,1,A1,CD28,1:4,TRUE,1:4a,Differentiation
A,1,2,A1,"Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q3: CD45RO+ , CD62L-","Q3: CD45RO+ , CD62L-",CD4,TRUE,CD4,CD3,TRUE,132,25.8,,,Eff,0.0716612377850163,A,1,A1,CD28,1:4,TRUE,1:4a,Differentiation
A,1,2,A1,"Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q4: CD45RO- , CD62L-","Q4: CD45RO- , CD62L-",CD4,TRUE,CD4,CD3,TRUE,59,11.5,,,Emra,0.0320304017372421,A,1,A1,CD28,1:4,TRUE,1:4a,Differentiation
A,1,2,A1,"Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q5: CD62L- , CD25+","Q5: CD62L- , CD25+",CD4,TRUE,CD4,CD3,TRUE,126,24.6,,,CD62LnegCD25pos,0.0684039087947883,A,1,A1,CD28,1:4,TRUE,1:4a,
A,1,2,A1,"Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q6: CD62L+ , CD25+","Q6: CD62L+ , CD25+",CD4,TRUE,CD4,CD3,TRUE,185,36.1,,,CD62LposCD25pos,0.10043431053203,A,1,A1,CD28,1:4,TRUE,1:4a,
A,1,2,A1,"Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q7: CD62L+ , CD25-","Q7: CD62L+ , CD25-",CD4,TRUE,CD4,CD3,TRUE,89,17.4,,,CD62LposCD25neg,0.0483170466883822,A,1,A1,CD28,1:4,TRUE,1:4a,
A,1,2,A1,"Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q8: CD62L- , CD25-","Q8: CD62L- , CD25-",CD4,TRUE,CD4,CD3,TRUE,112,21.9,,,CD62LnegCD25neg,0.0608034744842562,A,1,A1,CD28,1:4,TRUE,1:4a,
A,1,2,A1,"Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/Q9: CD127- , CD27+","Q9: CD127- , CD27+",CD4,TRUE,CD4,CD3,TRUE,12,2.34,,,CD127negCD27pos,0.00651465798045603,A,1,A1,CD28,1:4,TRUE,1:4a,
A,1,2,A1,Lymphocytes/Single Cells/Single Cells/Live CAR/CD4/TIM3,TIM3,CD4,TRUE,CD4,CD3,TRUE,129,25.2,2695,4413,TIM3,0.0700325732899023,A,1,A1,CD28,1:4,TRUE,1:4a,Exhaustion
A,1,2,A1,Lymphocytes/Single Cells/Single Cells/Live CAR/CD8,CD8,Live CAR,TRUE,CD3,CD3,TRUE,352,29.4,,,CD8,0.191096634093377,A,1,A1,CD28,1:4,TRUE,1:4a,
A,1,2,A1,Lymphocytes/Single Cells/Single Cells/Live CAR/CD8/CD39,CD39,CD8,TRUE,CD8,CD3,TRUE,301,85.5,16153,35126,CD39,0.163409337676439,A,1,A1,CD28,1:4,TRUE,1:4a,Exhaustion
A,1,2,A1,Lymphocytes/Single Cells/Single Cells/Live CAR/CD8/LAG3,LAG3,CD8,TRUE,CD8,CD3,TRUE,125,35.5,973,1419,LAG3,0.0678610206297503,A,1,A1,CD28,1:4,TRUE,1:4a,Exhaustion
A,1,2,A1,Lymphocytes/Single Cells/Single Cells/Live CAR/CD8/PD1,PD1,CD8,TRUE,CD8,CD3,TRUE,6,1.7,1900,2032,PD1,0.00325732899022801,A,1,A1,CD28,1:4,TRUE,1:4a,Exhaustion
A,1,2,A1,"Lymphocytes/Single Cells/Single Cells/Live CAR/CD8/Q10: CD127+ , CD27+","Q10: CD127+ , CD27+",CD8,TRUE,CD8,CD3,TRUE,74,21,,,CD127posCD27pos,0.0401737242128122,A,1,A1,CD28,1:4,TRUE,1:4a,
A,1,2,A1,"Lymphocytes/Single Cells/Single Cells/Live CAR/CD8/Q11: CD127+ , CD27-","Q11: CD127+ , CD27-",CD8,TRUE,CD8,CD3,TRUE,108,30.7,,,CD127posCD27neg,0.0586319218241042,A,1,A1,CD28,1:4,TRUE,1:4a,
A,1,2,A1,"Lymphocytes/Single Cells/Single Cells/Live CAR/CD8/Q12: CD127- , CD27-","Q12: CD127- , CD27-",CD8,TRUE,CD8,CD3,TRUE,137,38.9,,,CD127negCD27neg,0.0743756786102063,A,1,A1,CD28,1:4,TRUE,1:4a,
A,1,2,A1,"Lymphocytes/Single Cells/Single Cells/Live CAR/CD8/Q1: CD45RO- , CD62L+","Q1: CD45RO- , CD62L+",CD8,TRUE,CD8,CD3,TRUE,102,29,,,Naive,0.0553745928338762,A,1,A1,CD28,1:4,TRUE,1:4a,Differentiation
